key,value,collectionId,class,entryId
csp-report.blocked-uri,https://www.walmart.com/akam/13/6237d791,X6rSgyKETB9BsCCYnl1hi,other,ST9vglGcSeNwAepH9YNoU,ST9vglGcSeNwAepH9YNoU
csp-report.disposition,enforce,X6rSgyKETB9BsCCYnl1hi,other,nuoHx-SxhTbio-oH1Cr_k
csp-report.document-uri,https://www.walmart.com/,X6rSgyKETB9BsCCYnl1hi,other,JnOsOIMjxuQsXgaYIxvOo
csp-report.effective-directive,script-src-elem,X6rSgyKETB9BsCCYnl1hi,other,CHfufDMN-s7JdvJG4Ghu4
csp-report.original-policy,default-src 'self' *.walmartimages.com; script-src 'self' 'strict-dynamic' drfdisvc.walmart.com cdn.quantummetric.com *.px-cloud.net *.wal.co *.developer.walmart.com beacon.walmart.com i5.walmartimages.com www.recaptcha.net connect.facebook.net maps.googleapis.com *.zeekit.me zeekit.me qa.zeekit.walmart.com zeekit.walmart.com cdn.cs.1worldsync.com cc.cs.1worldsync.com ws.cnetcontent.com ccsprodus1.blob.core.windows.net salsify-ecdn.com www.ezdia.com cdn.richcontext.com media.flixcar.com media.flixfacts.com *.flix360.io *.flix360.com d3np41mctoibfu.cloudfront.net d3nkfb7815bs43.cloudfront.net content.jwplatform.com assets-jpcust.jwpsrv.com ssl.p.jwpcdn.com *.buywith.com *.talkshop.live wss://api.talkshop.live *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com 'nonce-48uKzSnpeaHfgpyt'; style-src 'self' 'unsafe-inline' *.walmartimages.com *.wal.co walmart.sspinc.io *.stylitics.com https://www-qa.walmart.com.mx cdn.cs.1worldsync.com cc.cs.1worldsync.com ws.cnetcontent.com ccsprodus1.blob.core.windows.net salsify-ecdn.com www.ezdia.com media.flixcar.com media.flixfacts.com *.flix360.io *.flix360.com d3np41mctoibfu.cloudfront.net d3nkfb7815bs43.cloudfront.net content.jwplatform.com assets-jpcust.jwpsrv.com ssl.p.jwpcdn.com *.buywith.com fonts.googleapis.com *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com; font-src 'self' i5.walmartimages.com *.wal.co fonts.gstatic.com fonts.googleapis.com *.buywith.com cdn.cs.1worldsync.com cc.cs.1worldsync.com ws.cnetcontent.com ccsprodus1.blob.core.windows.net salsify-ecdn.com www.ezdia.com media.flixcar.com media.flixfacts.com *.flix360.io *.flix360.com d3np41mctoibfu.cloudfront.net d3nkfb7815bs43.cloudfront.net content.jwplatform.com assets-jpcust.jwpsrv.com ssl.p.jwpcdn.com *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com; img-src 'self' *.walmartimages.com *.online-metrix.net drfdisvc.walmart.com tpc.googlesyndication.com crs.midas.stg.prod.us.walmart.net wrd.walmart.com receipts-query.edge.walmart.com receipts-query-wm-stg0.edge.walmart.com data: *.wal.co www.facebook.com cyborg-wm-auth-service-v2.jet.com maps.googleapis.com securepubads.g.doubleclick.net ad.doubleclick.net *.doubleverify.com static.adsafeprotected.com pixel.adsafeprotected.com *.imrworldwide.com ir.surveywall-api.survata.com cdn.doubleverify.com s0.2mdn.net advertising.walmart.com beacon-wmt.walmart.com www.gstatic.com *.px-cloud.net *.px-cdn.net beacon.walmart.com *.stylitics.com 1d81e75c4337a6e2e3c2-4a69748413de5fcbd7a7a944817c2356.ssl.cf1.rackcdn.com *.doubleclick.net gum.criteo.com ib.adnxs.com tap.walmart.com dw.wmt.co idsync.rlcdn.com i.liadm.com beacon.walmart.com t.myvisualiq.net us.creativecdn.com ads01.groovinads.com i6.liadm.com secure.adnxs.com azmatch.adsrvr.org sync.mathtag.com c.bing.com beacon.classrooms.walmart.com beacon.savingscatcher.walmart.com beacon.stage.walmart.com beacon.affil.walmart.com beacon.beta.walmart.com beacon.photos.walmart.com dw.wmt.co beacon-internal.walmart.com beacon.beta-game.walmart.com cdn-assets.affirm.com res.cloudinary.com *.zeekit.me zeekit.me qa.zeekit.walmart.com zeekit.walmart.com maps.gstatic.com wallet.walmart.com *.paypal.com cdn.cs.1worldsync.com cc.cs.1worldsync.com cdn.cnetcontent.com ws.cnetcontent.com ccsprodus1.blob.core.windows.net salsify-ecdn.com www.ezdia.com media.flixcar.com media.flixfacts.com *.flix360.io *.flix360.com d3np41mctoibfu.cloudfront.net d3nkfb7815bs43.cloudfront.net content.jwplatform.com assets-jpcust.jwpsrv.com ssl.p.jwpcdn.com content.syndigo.com images.salsify.com smedia.webcollage.net a.sellpoint.net salsify.com *.salsify.com ls.chatid.com player.cloudinary.com media.sku.ninja rackcdn.com cdn.cs.1worldsync.com cdn.cnetcontent.com cc.cnetcontent.com cc.cs.1worldsync.com akamai.ksckreate.net *.buywith.com *.talkshop.live talkshop.live wss://api.talkshop.live *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com www.walmart.com; connect-src 'self' *.walmartimages.com walmart.sspinc.io c.sspinc.io fitpredictor-api.sspinc.io *.stylitics.com beacon.walmart.com *.developer.walmart.com *.px-cloud.net *.px-cdn.net *.pxchk.net *.perimeterx.net drfdisvc.walmart.com walmart-sync.quantummetric.com quimby.mobile.walmart.com csp.walmart.com *.wal.co www.facebook.com directline.botframework.com wss://directline.botframework.com chat-qa.walmart.com walmart-sync.quantummetric.com tps.doubleverify.com stats.g.doubleclick.net www.google.com spendanalyzer-proxy.dev.walmart.com tax-app.prod.pgtax.tax.prod.walmart.com *.doubleclick.net gum.criteo.com ib.adnxs.com tap.walmart.com dw.wmt.co idsync.rlcdn.com i.liadm.com beacon.walmart.com t.myvisualiq.net us.creativecdn.com ads01.groovinads.com i6.liadm.com secure.adnxs.com azmatch.adsrvr.org sync.mathtag.com c.bing.com beacon.classrooms.walmart.com beacon.savingscatcher.walmart.com beacon.stage.walmart.com beacon.affil.walmart.com beacon.beta.walmart.com beacon.photos.walmart.com dw.wmt.co beacon-internal.walmart.com beacon.beta-game.walmart.com identity.walmart.com cdn-assets.affirm.com anivia-star.mobile.walmart.com maps.googleapis.com *.zeekit.me zeekit.me qa.zeekit.walmart.com zeekit.walmart.com maps.gstatic.com *.buywith.com wss://us.server.buywith.com *.talkshop.live wss://api.talkshop.live *.quantummetric.com api.bazaarvoice.com api.waiting-room.walmart.com developer.api.us.walmart.com *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com; object-src drfdisvc.walmart.com; frame-src 'self' *.walmartimages.com adclick.g.doubleclick.net drfdisvc.walmart.com *.quantummetric.com tap.walmart.com www.facebook.com www.recaptcha.net wallet.walmart.com tpc.googlesyndication.com *.online-metrix.net www.google.com *.vimeo.com vimeo.com identity.walmart.com wallet.walmart.com *.affirm.com *.eko.com *.shopstylecollective.com ln-rules.rewardstyle.com *.babylist.com cdn.cs.1worldsync.com cc.cs.1worldsync.com ws.cnetcontent.com ccsprodus1.blob.core.windows.net salsify-ecdn.com www.ezdia.com *.countr.one *.onefinance.com *.buywith.com wrd.walmart.com *.talkshop.live wss://api.talkshop.live dev.walmart.com:4200 dev.walmart.com:4300 *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com; frame-ancestors 'self' www.walmart.com preview.cxtools.walmart.com wallet.walmart.com dev.walmart.com:4200 dev.walmart.com:4300; media-src cyborg-wm-auth-service-v2.jet.com advertising.walmart.com *.walmartimages.com *.vimeo.com *.vimeocdn.com *.akamaized.net vimeo.com content.syndigo.com images.salsify.com 1d81e75c4337a6e2e3c2-4a69748413de5fcbd7a7a944817c2356.ssl.cf1.rackcdn.com a.sellpoint.net cdn-azure.kwikee.com akamai.ksckreate.net cdn.cnetcontent.com ca-media.contentanalyticsinc.com cc.cnetcontent.com *.buywith.com cdn.cs.1worldsync.com cc.cs.1worldsync.com ws.cnetcontent.com ccsprodus1.blob.core.windows.net salsify-ecdn.com www.ezdia.com media.flixcar.com media.flixfacts.com *.flix360.io *.flix360.com d3np41mctoibfu.cloudfront.net d3nkfb7815bs43.cloudfront.net content.jwplatform.com assets-jpcust.jwpsrv.com ssl.p.jwpcdn.com *.salsify.com ls.chatid.com *.cloudinary.com assets.optiwise.ai *.syndigo.com *.syndigo.cloud rackcdn.com media.sku.ninja *.ksckreate.net *.cnetcontent.com *.1worldsync.com; report-uri https://csp.walmart.com/c/r/gl,X6rSgyKETB9BsCCYnl1hi,other,4GCDglziUShjSDi559rJ9
csp-report.referrer,,X6rSgyKETB9BsCCYnl1hi,other,FNyFlYghqXmP4WrS8n-rm
csp-report.script-sample,,X6rSgyKETB9BsCCYnl1hi,other,S0aqDlbwG1hepb8cWUWJX
csp-report.status-code,200,X6rSgyKETB9BsCCYnl1hi,other,2DwLFatv5jePsRChEcOOG
csp-report.violated-directive,script-src-elem,X6rSgyKETB9BsCCYnl1hi,other,QKH6IDbScai2_T7bpqSYf
variables.detailed,false,IL3AvXobXRpp5pygzdypW,other,KjGVYNw2RsFygaCroSJ9b,KjGVYNw2RsFygaCroSJ9b
