key,value,collectionId,class,entryId
records[0].appState.cmsPageId,/s/shirt,pqTXhFWAqHv88nlfYDB2r,other,97FtvYmMAfNrA4VF3b2WX,97FtvYmMAfNrA4VF3b2WX
records[0].appState.cmsPageType,s,pqTXhFWAqHv88nlfYDB2r,other,zA92FvkPsYPqKxHkee0Cv
records[0].appState.globalPage,search,pqTXhFWAqHv88nlfYDB2r,other,e_r1XRqkR55EisqjbMocZ
records[0].appState.pageName,search: search results,pqTXhFWAqHv88nlfYDB2r,other,N8MhaZN3ivSGdxx4REzMT
records[0].appState.pageType,search: search results,pqTXhFWAqHv88nlfYDB2r,other,czk59O4Nmw4Ww6E18P2rH
records[0].appState.previousPageName,search: search results,pqTXhFWAqHv88nlfYDB2r,other,SKIHVU8lOK00a9tMXJZPW
records[0].appState.previousPageType,search: search results,pqTXhFWAqHv88nlfYDB2r,other,SKwMKPjD3YLSX4HlF0qUr
records[0].appState.previousSearchTerm,shirt,pqTXhFWAqHv88nlfYDB2r,other,7svHJBQY8dPWKzPTd5AOw
records[0].appState.referrer,https://www.target.com/login?client_id=ecom-web-1.0.0&ui_namespace=ui-default&back_button_action=browser&keep_me_signed_in=true&kmsi_default=false&actions=create_session_signin,pqTXhFWAqHv88nlfYDB2r,other,Q5ZhnodNkq_qnvPiS_wPd
records[0].appState.screenOrientation,landscape,pqTXhFWAqHv88nlfYDB2r,other,PQRw1B-Og6F6jDGLlpVxe
records[0].appState.sessionHit,5,pqTXhFWAqHv88nlfYDB2r,other,Loeh2DL5s1nEFCBnymrPK
records[0].appState.url,https://www.target.com/s?searchTerm=shirt,pqTXhFWAqHv88nlfYDB2r,other,UawLXw4JXa-RBKYIEwjTN
records[0].appState.viewId,87a1f93871c9a1676348980153,pqTXhFWAqHv88nlfYDB2r,other,h9-88cuU55RkKog0-0vbM
records[0].appState.windowSize,1920 x 961,pqTXhFWAqHv88nlfYDB2r,device_information,QJgJiCdg1oLecJEEiFyzT,QJgJiCdg1oLecJEEiFyzT
records[0].application.id,f6d291f8013522023-02-14T04:29:40.161Z,pqTXhFWAqHv88nlfYDB2r,other,dsXxSFCGPx30Ya5h1CWwM
records[0].application.name,adaptive,pqTXhFWAqHv88nlfYDB2r,other,RMr87bP1ohwOtNrm1Qzxz
records[0].application.schemaVersion,1.27.0,pqTXhFWAqHv88nlfYDB2r,other,pdKR2S0dhk0ZoWJGGJN4o
records[0].application.version,top-of-funnel-a53cc41cc3bfc4d213d96d6086d93ae71f870bb7,pqTXhFWAqHv88nlfYDB2r,other,L138sYrdViAgyOhdXDlUg
records[0].channel.marketingChannel,,pqTXhFWAqHv88nlfYDB2r,other,4NEEce8TVQrfJrczGmeR6
