key,value,collectionId,class,entryId
0.activity.category,Impression,iGpjMrZ8LIDIcNJaGqQVk,other,I4RCYUcsDEgVTmRLbpe4z
0.activity.details.ciid,AtWKRb+w*,iGpjMrZ8LIDIcNJaGqQVk,other,STGPI_GY0BXRrEfMpueul
0.activity.details.ePageId,2287945,iGpjMrZ8LIDIcNJaGqQVk,other,gqy9OdN6aE7ToL8i6Dc9E
0.activity.details.nPageId,2287945,iGpjMrZ8LIDIcNJaGqQVk,other,TxoV8fyqpkphRYjMHoeTW
0.activity.details.rPageId,2287945,iGpjMrZ8LIDIcNJaGqQVk,other,p4hf4-Mvp22BfqHOKpr4j
0.activity.referer,https://signin.ebay.com/,iGpjMrZ8LIDIcNJaGqQVk,other,YDHBOvpSi-a2bTPC1ojEf
0.activity.timestamp,1676325446764,iGpjMrZ8LIDIcNJaGqQVk,other,od3wz4pGhQJdNjyanb6y9
0.activity.type,VIEW.TAB_SWITCH,iGpjMrZ8LIDIcNJaGqQVk,other,ljHYWcSUb5zhogRhXbDJm
0.activity.viewportHeight,609,iGpjMrZ8LIDIcNJaGqQVk,other,y4Knd8KGaw_k9rRU64S97
0.activity.viewportWidth,1280,iGpjMrZ8LIDIcNJaGqQVk,other,KXzewuY3qIrPtRHGJKG61
0.agentVersion,2.1.2,iGpjMrZ8LIDIcNJaGqQVk,other,jn_nuZDIjjgyahj3biB8R
0.context.screenHeight,720,iGpjMrZ8LIDIcNJaGqQVk,other,DJPbM4MLXTffQOqOlNvcg
0.context.screenWidth,1280,iGpjMrZ8LIDIcNJaGqQVk,other,3_jfS4xwu00VCpV273XdI
0.context.userLang,en-US,iGpjMrZ8LIDIcNJaGqQVk,other,AZAo24Pdk7gV9-9Fiupdm
0.context.utcOffset,5,iGpjMrZ8LIDIcNJaGqQVk,other,pGUb7tJlfbbsRreeMA79c
0.eventFamily,AUTO_TRACKING,iGpjMrZ8LIDIcNJaGqQVk,other,Yw664bbL054kcuNaLaMMB
0.siteId,0,iGpjMrZ8LIDIcNJaGqQVk,other,bOCh1D5pQUDYBBfk4oNsc
0.trackable.description,eBay: Secret Question,iGpjMrZ8LIDIcNJaGqQVk,other,Lx2_l9cT_beaegIZvr5fp
0.trackable.entityId,2287945,iGpjMrZ8LIDIcNJaGqQVk,other,sx7nW0qeXJlU2_FhTNR_W
0.trackable.entityType,Page,iGpjMrZ8LIDIcNJaGqQVk,other,ZK5aBS_F7yJaITEjGixXv
0.trackable.instanceId,https://reg.ebay.com/reg/ChangeSecretQuestion?flow=SIGN_IN&ru=https%3A%2F%2Fwww.ebay.com%2F,iGpjMrZ8LIDIcNJaGqQVk,other,RHssnoagIiJCk2-FmZOjH
0.trackable.parentTrackableId,e11a9cf0-7f2d-48d0-9a67-4f46f8f36887,iGpjMrZ8LIDIcNJaGqQVk,other,pQllxora8AJZC8Dl6EF3C
0.trackable.screenId,8979390a-8e9c-4f4a-ba55-05893a473eb5,iGpjMrZ8LIDIcNJaGqQVk,other,5YoJyhxgyuq84UGWWRmtF
0.trackable.trackableId,b495a6e2-b52e-4ea9-9d86-d10246ceb268,iGpjMrZ8LIDIcNJaGqQVk,other,zt9Ee6Rfr4GmclCg2e10s
0.activity.category,Impression,THaEQd9zNAlHNEofSi9OR,other,6oyT5v47q9PAE9WyxLQ_f
0.activity.details.h,530.08,THaEQd9zNAlHNEofSi9OR,other,-RFjQ7azzjxufvjLabmZC
0.activity.details.static,true,THaEQd9zNAlHNEofSi9OR,other,4HIw-Y0PzUoER4fJsKY1U
0.activity.details.viewcnt,1,THaEQd9zNAlHNEofSi9OR,other,QjRCRnBj_qJL_SUYp-eeH
0.activity.details.w,400.00,THaEQd9zNAlHNEofSi9OR,other,-yYCZ2YkA2NAkCd0cXgCl
0.activity.details.x,436.67,THaEQd9zNAlHNEofSi9OR,other,MTAlSDxO7b_5WeRMgza4o
0.activity.details.y,87.00,THaEQd9zNAlHNEofSi9OR,other,2fHeIPDlE9o2O9_iUcUz1
0.activity.duration,13407,THaEQd9zNAlHNEofSi9OR,other,ca-11B10aeZSJAmBhWqRW
0.activity.ratio,0.95,THaEQd9zNAlHNEofSi9OR,other,NI-1qsXSR7aUEiSLdUCdA
0.activity.timestamp,1676325446773,THaEQd9zNAlHNEofSi9OR,other,-k3965_i7xDIl8S7uKtWh
0.activity.type,VIEW.MOD_VIEW,THaEQd9zNAlHNEofSi9OR,other,e06KhIcoforwttDVLk8n9
0.activity.viewportHeight,609,THaEQd9zNAlHNEofSi9OR,other,drand2JSyvPrEb7dtpng5
0.activity.viewportWidth,1280,THaEQd9zNAlHNEofSi9OR,other,j6WltgtyQRl0NZG0tMK9c
