key,value,collectionId,class,entryId
adBlock,1,h7QKY3Ab9ICm2tGZWxpUr,other,CyUWQRWZSa1_5hLksK5H6
adSignalsInfoString,dt=1676338687473&flash=0&frm&u_tz=-300&u_his=10&u_h=1080&u_w=1920&u_ah=1080&u_aw=1920&u_cd=24&bc=31&bih=1080&biw=1920&brdim=8%2C8%2C8%2C8%2C1920%2C0%2C1904%2C1064%2C1920%2C1080&vis=1&wgl=true&ca_type=image&bid=ANyPxKpuQ11jf9xLxZAV8A2IoVYXz-KbGhFk2YlkBDRlrYzeBEL0_j3nKI4hbFZPbsN--lRR_SQCOk5q2cs_V1oczt8aGJ5wOQ,h7QKY3Ab9ICm2tGZWxpUr,other,UUtJ9ypGSBDwFF6vJFfj8
breakIndex,1,h7QKY3Ab9ICm2tGZWxpUr,other,sy-2qvFf4wSspE42SI_Wo
breakPositionMs,110649,h7QKY3Ab9ICm2tGZWxpUr,other,QDE6IxjzM7wtKxt96cG0G
clientPlaybackNonce,uWK7Ct5sqlcRBrLJ,h7QKY3Ab9ICm2tGZWxpUr,other,aughgXQ_2V_IxPon-8IvW
context.adSignalsInfo.bid,ANyPxKpuQ11jf9xLxZAV8A2IoVYXz-KbGhFk2YlkBDRlrYzeBEL0_j3nKI4hbFZPbsN--lRR_SQCOk5q2cs_V1oczt8aGJ5wOQ,h7QKY3Ab9ICm2tGZWxpUr,other,oDqO1i3OCWRSy9e7nSDVD
context.adSignalsInfo.params[0].key,ca_type,h7QKY3Ab9ICm2tGZWxpUr,other,zw1_pkQmZk-Vk9_iboNSg
context.adSignalsInfo.params[0].value,image,h7QKY3Ab9ICm2tGZWxpUr,other,Ks5u03znhaL7RZAqC43bl
context.adSignalsInfo.params[1].key,dt,h7QKY3Ab9ICm2tGZWxpUr,other,SoZJxFCd_o15JGbhQ41TN
context.adSignalsInfo.params[1].value,1676338687473,h7QKY3Ab9ICm2tGZWxpUr,other,oG7btw96jV4QwUd7ywSQG
context.adSignalsInfo.params[2].key,flash,h7QKY3Ab9ICm2tGZWxpUr,other,qYdEN0gHVcRBnVC2Vzbhl
context.adSignalsInfo.params[2].value,0,h7QKY3Ab9ICm2tGZWxpUr,other,Z-fl1uGsQqyU5nWxomCKF
context.adSignalsInfo.params[3].key,u_tz,h7QKY3Ab9ICm2tGZWxpUr,other,SINGkE0cUrNkg9Y1FQh7W
context.adSignalsInfo.params[3].value,-300,h7QKY3Ab9ICm2tGZWxpUr,other,_EpiU9KBJwDpjO2BqqqSM
context.adSignalsInfo.params[4].key,u_his,h7QKY3Ab9ICm2tGZWxpUr,other,8ksTY8ctcD96FmIuk9a3j
context.adSignalsInfo.params[4].value,10,h7QKY3Ab9ICm2tGZWxpUr,other,k09HAB8yV_nPt2fy1SVl-
context.adSignalsInfo.params[5].key,u_h,h7QKY3Ab9ICm2tGZWxpUr,other,tZLBm0O3CRwWFVJcmi45q
context.adSignalsInfo.params[5].value,1080,h7QKY3Ab9ICm2tGZWxpUr,other,iLbet2NoY6x-EyvV-DreT
context.adSignalsInfo.params[6].key,u_w,h7QKY3Ab9ICm2tGZWxpUr,other,Upuj8BmGg2RUqGgTCzhMg
context.adSignalsInfo.params[6].value,1920,h7QKY3Ab9ICm2tGZWxpUr,other,9k415Z_MtT0H2Rknnv7AO
context.adSignalsInfo.params[7].key,u_ah,h7QKY3Ab9ICm2tGZWxpUr,other,YT2rhRSbRnzOkhM7mOWFE
context.adSignalsInfo.params[7].value,1080,h7QKY3Ab9ICm2tGZWxpUr,other,KEiMDJpG-bWRpaVxaSBCO
context.adSignalsInfo.params[8].key,u_aw,h7QKY3Ab9ICm2tGZWxpUr,other,qP2KxJN79qFljO-29HE4U
context.adSignalsInfo.params[8].value,1920,h7QKY3Ab9ICm2tGZWxpUr,other,mAO2BuGgwvlgjD2gwM3XH
context.adSignalsInfo.params[9].key,u_cd,h7QKY3Ab9ICm2tGZWxpUr,other,QfNIvg7qRjlK04a0gBvOc
context.adSignalsInfo.params[9].value,24,h7QKY3Ab9ICm2tGZWxpUr,other,vJjUUDQqNXu9TKg38xuzx
context.adSignalsInfo.params[10].key,bc,h7QKY3Ab9ICm2tGZWxpUr,other,4WBbhHfyRzWHUDCQUuOxS
context.adSignalsInfo.params[10].value,31,h7QKY3Ab9ICm2tGZWxpUr,other,6DCsugm0AEEj5PtsjcpYs
context.adSignalsInfo.params[11].key,bih,h7QKY3Ab9ICm2tGZWxpUr,other,ZSpBf0LPqXHLYda8QlHT-
context.adSignalsInfo.params[11].value,1080,h7QKY3Ab9ICm2tGZWxpUr,other,ic-21P3TQ5fZcUiAHcTWz
context.adSignalsInfo.params[12].key,biw,h7QKY3Ab9ICm2tGZWxpUr,other,bCaUBMouB7EfIqzL3xclw
context.adSignalsInfo.params[12].value,1920,h7QKY3Ab9ICm2tGZWxpUr,other,HQwSjpvSTi0N0lV17FvrV
context.adSignalsInfo.params[13].key,brdim,h7QKY3Ab9ICm2tGZWxpUr,other,J216qZ_2Ggwkb8BAS8COC
context.adSignalsInfo.params[14].key,vis,h7QKY3Ab9ICm2tGZWxpUr,other,6GByCIRaS8n_sl5TV0Ef_
context.adSignalsInfo.params[14].value,1,h7QKY3Ab9ICm2tGZWxpUr,other,0_gBU6tal1VFprLO9Q4i7
context.adSignalsInfo.params[15].key,wgl,h7QKY3Ab9ICm2tGZWxpUr,other,yK76tKRU-UOrmfGqMvPVy
context.adSignalsInfo.params[15].value,true,h7QKY3Ab9ICm2tGZWxpUr,other,6HtwnUyRj4B9JuN8xHFtx
context.clickTracking.clickTrackingParams,CAAQu2kiEwjDkfCl8JP9AhWZ2ZwKHazWDlI=,h7QKY3Ab9ICm2tGZWxpUr,other,zP3he_isx7XiLILmMNLtf
context.client.browserName,Chrome,h7QKY3Ab9ICm2tGZWxpUr,other,cF9ghugc4URyDYV4-wc5i
context.client.browserVersion,109.0.0.0,h7QKY3Ab9ICm2tGZWxpUr,other,vS_6SlpButNEsgZdqe0VT
context.client.clientFormFactor,UNKNOWN_FORM_FACTOR,h7QKY3Ab9ICm2tGZWxpUr,other,nQZYO0iwR0brA6tohNCDx
context.client.clientName,WEB,h7QKY3Ab9ICm2tGZWxpUr,other,2RcUkL84yTQffH0QuP9QP
context.client.clientVersion,2.20230213.01.00,h7QKY3Ab9ICm2tGZWxpUr,other,IJFHy4eCP-0v41GFzyeDD
context.client.configInfo.appInstallData,CPvLq58GELac_hIQh92uBRCJ6K4FEMzfrgUQlPiuBRC41K4FEKLsrgUQuIuuBRDi1K4FEKGn_hIQ5_euBRDM9a4FEILdrgUQ-6P-EhDloP4SENrprgUQjPuuBRCi_64FEP7urgUQ76P-EhCR-PwS,h7QKY3Ab9ICm2tGZWxpUr,other,g3r4GX17e1meuOaz1P3e2
context.client.deviceExperimentId,ChxOekU1TlRBME1EZzNNVEF4TWpFMU1EQTVNdz09EPvLq58GGI3X554G,h7QKY3Ab9ICm2tGZWxpUr,other,MBsT-NLX-8wnEzImxzoVX
context.client.deviceMake,,h7QKY3Ab9ICm2tGZWxpUr,other,u7AvBBV3rU8ebwsDVZ0Oy
context.client.deviceModel,,h7QKY3Ab9ICm2tGZWxpUr,other,5DxRGVm52Mv9KMkhGO1y8
context.client.gl,US,h7QKY3Ab9ICm2tGZWxpUr,personal_information,Jb0p4PkPZO1K74RIQItLi,Jb0p4PkPZO1K74RIQItLi
context.client.hl,en,h7QKY3Ab9ICm2tGZWxpUr,personal_information,HBerIDffYfL1_xYpSB3yZ,HBerIDffYfL1_xYpSB3yZ
context.client.mainAppWebInfo.graftUrl,https://www.youtube.com/watch?v=2iKmx4SGo00,h7QKY3Ab9ICm2tGZWxpUr,other,4M4u2QS57leLr9OiFZavm
context.client.mainAppWebInfo.isWebNativeShareAvailable,true,h7QKY3Ab9ICm2tGZWxpUr,other,h1XA3bfTWJi2ZbHkCnUTY
context.client.mainAppWebInfo.webDisplayMode,WEB_DISPLAY_MODE_FULLSCREEN,h7QKY3Ab9ICm2tGZWxpUr,other,e5jV0-bctlSZ6lajGMkDL
context.client.memoryTotalKbytes,8000000,h7QKY3Ab9ICm2tGZWxpUr,other,X3DVpZG0P5wndwKiPfhbc
context.client.originalUrl,https://www.youtube.com/get_midroll_info?ei=C-bqY4PgOpmz8wSsrbuQBQ&m_pos=110&token=AIbCPOCTGvDhLOqU2mWOReixQ4ufxHKkw3SFOni5UJULrSSsWuDWpeQvbxfi02URLcwR_0_EOdBdUd_rBo8vbme_BT68TkSd_yje6sHkSdAITml0oQEm6yl2hRPLOu1TUqBW1Q4QutZzHYwRk6MUjQ441og53lWTUcuUumgzS3w6c0s6uTfggIAA6arP9aO_ZHkfEBgbVfPHLH-k41Z_JWv77ETO9dCpddFK-SI5_xwu2PnGkXw5aeEyTcu-Z5XXzABBwPsn1SibadFdsmRiHuOg3l_6YLWVXNLHegOMzngK2Evcgz2embdE-Hd_EJ3Eez6gLOv3z9deErrn1Kc19X6s9EwqcLwWz8gaRWMFrQG6wnLCBMlG30BYxXhoLR4--7AlSwUc-vTL&index=1&cpn=uWK7Ct5sqlcRBrLJ&lact=101105&vis=2&ad_block=1&tsla=%5BTSLA%5D&bid=ANyPxKpuQ11jf9xLxZAV8A2IoVYXz-KbGhFk2YlkBDRlrYzeBEL0_j3nKI4hbFZPbsN--lRR_SQCOk5q2cs_V1oczt8aGJ5wOQ&dt=1676338687473&flash=0&frm=0&ca_type=image&u_tz=-300&u_his=10&u_java=%5BU_JAVA%5D&u_h=1080&u_w=1920&u_ah=1080&u_aw=1920&u_cd=24&u_nplug=%5BU_NPLUG%5D&u_nmime=%5BU_NMIME%5D&p_w=1920&p_h=1080&c=WEB&cver=2.20230213.01.00&m_pos_ms=110649&sts=19389,h7QKY3Ab9ICm2tGZWxpUr,other,HFPgGPij6Hocd8bA8jW1n
context.client.osName,Windows,h7QKY3Ab9ICm2tGZWxpUr,device_information,JcUrIiXf_RrxcHaDPvGSQ,JcUrIiXf_RrxcHaDPvGSQ
context.client.osVersion,10.0,h7QKY3Ab9ICm2tGZWxpUr,device_information,eM8J0vq2DtwfWEJ5lqqeW,eM8J0vq2DtwfWEJ5lqqeW
context.client.platform,DESKTOP,h7QKY3Ab9ICm2tGZWxpUr,device_information,ch3W6KZ6R6eVJh5mRpQ5O,ch3W6KZ6R6eVJh5mRpQ5O
context.client.playerType,UNIPLAYER,h7QKY3Ab9ICm2tGZWxpUr,other,hDWsULayrWsZdbWL-ZAZS
context.client.remoteHost,2600:4041:44c7:400:80a2:c91a:c01c:7488,h7QKY3Ab9ICm2tGZWxpUr,location,NaG87IDKA3CQZszknw9dn,NaG87IDKA3CQZszknw9dn
