key,value,collectionId,class,entryId
context.client.browserName,Chrome,eYqQQCLTmsLvrc1J3VgJm,other,wlU7QSqOy3lZj23IbROP7
context.client.browserVersion,109.0.0.0,eYqQQCLTmsLvrc1J3VgJm,other,7F9LAwKgC3AWGxq5fcDsC
context.client.clientName,1,eYqQQCLTmsLvrc1J3VgJm,other,jolDSo8ncEKz5Smjg87sB
context.client.clientVersion,2.20230206.06.00,eYqQQCLTmsLvrc1J3VgJm,other,HBtEDs2QsflZ0KVjjtF9D
context.client.configInfo.appInstallData,CJWFn58GEP7urgUQ5aD-EhC4i64FELac_hIQouyuBRDi1K4FEIz5rgUQieiuBRDM9a4FELjUrgUQ-6P-EhCC3a4FEI_7rgUQlPiuBRCH3a4FEOf3rgUQ2umuBRCKgK8FEJnqrgUQzN-uBRDh9q4FENio_hIQyaX-EhCR-PwS,eYqQQCLTmsLvrc1J3VgJm,other,JA0X4NP-_XRtGUOMZHCeN
context.client.connectionType,CONN_CELLULAR_4G,eYqQQCLTmsLvrc1J3VgJm,other,ayBS_TxTMdsjRBZ5l06lg
context.client.deviceMake,apple,eYqQQCLTmsLvrc1J3VgJm,device_information,r67hjZaWbDzMwkeuzSbA9,r67hjZaWbDzMwkeuzSbA9
context.client.gl,US,eYqQQCLTmsLvrc1J3VgJm,personal_information,4iBUqurwHyIafCY8XMPjV,4iBUqurwHyIafCY8XMPjV
context.client.hl,en,eYqQQCLTmsLvrc1J3VgJm,personal_information,etqINlEA9fmRhDrzKLYO0,etqINlEA9fmRhDrzKLYO0
context.client.mainAppWebInfo.webDisplayMode,WEB_DISPLAY_MODE_BROWSER,eYqQQCLTmsLvrc1J3VgJm,other,cMa7DfgpnhGOhSEPgRMSV
context.client.memoryTotalKbytes,8000000,eYqQQCLTmsLvrc1J3VgJm,device_information,02XzyW3R7L_6u0kdtVQOW,02XzyW3R7L_6u0kdtVQOW
context.client.osName,Macintosh,eYqQQCLTmsLvrc1J3VgJm,device_information,d4tnD6xGnAliBuYoFlOup,d4tnD6xGnAliBuYoFlOup
context.client.osVersion,10_15_7,eYqQQCLTmsLvrc1J3VgJm,device_information,3NFsHCn2GMgzq-oT83Ezp,3NFsHCn2GMgzq-oT83Ezp
context.client.platform,DESKTOP,eYqQQCLTmsLvrc1J3VgJm,device_information,EkmsFSYMNkanIdnmMcLIt,EkmsFSYMNkanIdnmMcLIt
context.client.screenDensityFloat,2,eYqQQCLTmsLvrc1J3VgJm,other,Mo0-m2NBtrhWJqb0mm6FN
events[0].context.lastActivityMs,7833726,eYqQQCLTmsLvrc1J3VgJm,other,b07HJv4N_QTB1Z8evBgI2
events[0].eventTimeMs,1676138711849,eYqQQCLTmsLvrc1J3VgJm,other,XqLSxbjtVWE_6enGdL4D3
events[0].latencyActionTicked.clientActionNonce,Ni3Ga9p3z4NKBi88,eYqQQCLTmsLvrc1J3VgJm,other,kb_RsyQNhIhz5yTH2b9a-
