key,value,collectionId,class,entryId
features.freedom_of_speech_not_reach_appeal_label_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,EBUiBub9w4_7ZuWttYmwD,EBUiBub9w4_7ZuWttYmwD
features.graphql_is_translatable_rweb_tweet_is_translatable_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,OFHtzySV6C2oS5DBvyb0U
features.interactive_text_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,QIxoJ7BcikwEHiyl0j6Fv
features.longform_notetweets_consumption_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,vHai7ohoxTi_V67No6RoF
features.responsive_web_edit_tweet_api_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,bu4R237f5hISaKCdfapBV
features.responsive_web_enhance_cards_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,EdStBUzQUaLJwoMiBMNTf
features.responsive_web_graphql_exclude_directive_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,DQekqMlryuricO5aCIuOk
features.responsive_web_graphql_skip_user_profile_image_extensions_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,m5z-6iKp1h589luqY4h82
features.responsive_web_graphql_timeline_navigation_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,TEK3-rCAG1p7Q9vm6p56Q
features.responsive_web_text_conversations_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,29JhF8OIJCdeZk7LbG0UI
features.responsive_web_twitter_blue_verified_badge_is_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,EmJqKuIhChdYfmsnFnxmm
features.standardized_nudges_misinfo,true,tBefHwbYTnGkWJGFVz8E1,other,HRJg-4mf6dI8YvGFv_vkb
features.tweet_with_visibility_results_prefer_gql_limited_actions_policy_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,xYBMd3K_U-wF8-O7RjKyV
features.tweetypie_unmention_optimization_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,uP5o1u39aPs8Dp2BgO66k
features.verified_phone_label_enabled,false,tBefHwbYTnGkWJGFVz8E1,other,2kPpcyjgmTutOfkafKBTH
features.vibe_api_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,arQIxfD_8Tt2WBrZB5gX3
features.view_counts_everywhere_api_enabled,true,tBefHwbYTnGkWJGFVz8E1,other,VGO9QpxVEyZlZSqm7YGQb
queryId,6VUR2qFhg6jw55JEvJEmmA,tBefHwbYTnGkWJGFVz8E1,other,n01Va7_VQ-avoaiDBDYvh
variables.count,40,tBefHwbYTnGkWJGFVz8E1,other,LPzk35940Hv50VPbkwi9e
variables.cursor,HCaAgICcwPuxji0AAA==,tBefHwbYTnGkWJGFVz8E1,other,WJuTEcavjUbz_4FzjqGw0
variables.includePromotedContent,true,tBefHwbYTnGkWJGFVz8E1,other,jlT4kd3SRG2kst6tdOLk9
