key,value,collectionId,class,entryId
context.adSignalsInfo.params[0].key,dt,iBf3e8WwbwONdYBDlDayV,other,mIqjMpr9o7zHC4g9wQzJg
context.adSignalsInfo.params[0].value,1676328382106,iBf3e8WwbwONdYBDlDayV,other,9gtsR0sKXapn32oqgGcjE
context.adSignalsInfo.params[1].key,flash,iBf3e8WwbwONdYBDlDayV,other,ENPRYHFVPutcHh9rBje-4
context.adSignalsInfo.params[1].value,0,iBf3e8WwbwONdYBDlDayV,other,Jbkeu3YhtaFtROHEAgdOJ
context.adSignalsInfo.params[2].key,frm,iBf3e8WwbwONdYBDlDayV,other,y5TShbSbFqtfdJy7q58NW
context.adSignalsInfo.params[2].value,0,iBf3e8WwbwONdYBDlDayV,other,2moyC-V4wGOAbLvSFCpNM
context.adSignalsInfo.params[3].key,u_tz,iBf3e8WwbwONdYBDlDayV,other,LiQonstit-mehOYJNxSNZ
context.adSignalsInfo.params[3].value,-300,iBf3e8WwbwONdYBDlDayV,other,ZPxEduDXhuuFT95lkWrOQ
context.adSignalsInfo.params[4].key,u_his,iBf3e8WwbwONdYBDlDayV,other,7TctisGOl_LPzm62sImiw
context.adSignalsInfo.params[4].value,1,iBf3e8WwbwONdYBDlDayV,other,j1-roOw_3miGPB1-wV0OU
context.adSignalsInfo.params[5].key,u_h,iBf3e8WwbwONdYBDlDayV,other,IkLP_pGaFx42XLFIWb8iJ
context.adSignalsInfo.params[5].value,1080,iBf3e8WwbwONdYBDlDayV,other,e3lS35hfPULx4bF1S-3ls
context.adSignalsInfo.params[6].key,u_w,iBf3e8WwbwONdYBDlDayV,other,Wbah4Cx87o2-0wu67e0rK
context.adSignalsInfo.params[6].value,1920,iBf3e8WwbwONdYBDlDayV,other,MXK11n_HghybOpVBclKW_
context.adSignalsInfo.params[7].key,u_ah,iBf3e8WwbwONdYBDlDayV,other,so4WON80sEDxc-DL7vSbh
context.adSignalsInfo.params[7].value,1080,iBf3e8WwbwONdYBDlDayV,other,3goGSpDVcajj2ozzFLaH2
context.adSignalsInfo.params[8].key,u_aw,iBf3e8WwbwONdYBDlDayV,other,ZIsslGsQ2R19OynwQjC-Z
context.adSignalsInfo.params[8].value,1920,iBf3e8WwbwONdYBDlDayV,other,ox89S6tXhuANiX1q8b-Yj
context.adSignalsInfo.params[9].key,u_cd,iBf3e8WwbwONdYBDlDayV,other,iII3d8Kh011ntcw5KxtGf
context.adSignalsInfo.params[9].value,24,iBf3e8WwbwONdYBDlDayV,other,8DMM_GCj1CpNMMrIRQo1N
context.adSignalsInfo.params[10].key,bc,iBf3e8WwbwONdYBDlDayV,other,Bn99hNOBfdvaiVf-XIKbx
context.adSignalsInfo.params[10].value,31,iBf3e8WwbwONdYBDlDayV,other,D2hQvoSkRrq03vIw8fvWF
context.adSignalsInfo.params[11].key,bih,iBf3e8WwbwONdYBDlDayV,other,aaiLkNUDTd4J3cwbkA0Xk
context.adSignalsInfo.params[11].value,886,iBf3e8WwbwONdYBDlDayV,other,u8RdA6cRpSzwqp1JCCOB8
context.adSignalsInfo.params[12].key,biw,iBf3e8WwbwONdYBDlDayV,other,DfMhZBTtoUx06xLLY_gOh
context.adSignalsInfo.params[12].value,1730,iBf3e8WwbwONdYBDlDayV,other,HroXdi9JOidS4bzLorhUs
context.adSignalsInfo.params[13].key,brdim,iBf3e8WwbwONdYBDlDayV,other,KAnnkqzoMxHDqNQKx_f5h
context.adSignalsInfo.params[14].key,vis,iBf3e8WwbwONdYBDlDayV,other,fp64cbK5AV_my5bBFXvvH
